SampleName,VolumeDensity,SurfaceAreaDensity,MeanBreadthDensity,EulerNumberDensity,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
Scan030_031,0.66,0.081,-4.71E-06,-8.31E-07,39051.2807,39051.2807,6263.171807,45.89417544,0.382824561,0.684210526,57.12280702,99.42105263,53.49122807,93.57894737,54.07017544,96.75438596,78.65792982,73.64626316,75.2195614,78.65792982,73.64626316,75.2195614,28.43742105,18.70419298,11.57349123,-6.144561404,-3.677666667,11.78801754,1.630140351,3.025754386,1.846807018,79.77192982,71.8245614,74.94736842,13.70759649
Scan030_032,0.702,0.091,-0.0003163,-1.52E-05,46440.05882,46440.05882,7939.441137,52.72162745,0.378941176,-0.254901961,50.88235294,98.64705882,51.37254902,95.98039216,46.15686275,92.03921569,74.70823529,73.68037255,68.9267451,74.70823529,73.68037255,68.9267451,30.89184314,20.32101961,14.08754902,-8.863215686,-4.873039216,-22.02686275,1.579686275,2.39545098,1.534117647,74.41176471,72.82352941,67.09803922,15.54907843
Scan030_033,0.704,0.099,-0.0003156,-7.18E-06,36576,36576,6740.023938,49.12312308,0.405907692,0.169230769,53.78461538,98.16923077,50.30769231,94.89230769,45.81538462,88.86153846,76.44209231,72.94972308,67.11089231,76.44209231,72.94972308,67.11089231,27.98049231,19.67369231,13.96058462,4.894815385,-3.705569231,-0.8454,1.457707692,2.111523077,1.471215385,76.35384615,72.33846154,65.73846154,15.682
Scan030_034,0.701,0.089,-0.0002633,-3.17E-06,45424.53846,45424.53846,7557.352635,52.31640385,0.38725,0.673076923,49.63461538,93.40384615,54.01923077,98.21153846,55.55769231,102.0192308,71.66938462,76.50282692,78.88359615,71.66938462,76.50282692,78.88359615,29.70963462,20.32773077,13.86303846,-8.497538462,-3.759692308,16.36034615,1.519153846,2.425076923,1.601711538,70.65384615,76.46153846,76.53846154,15.72434615
Scan030_035,0.636,0.079,-3.24E-05,-5.52E-06,43858.57143,43858.57143,7231.602531,52.49693878,0.366306122,0.387755102,48.55102041,92.73469388,58.95918367,100.9183673,44.6122449,90.10204082,70.84255102,79.89873469,67.20679592,70.84255102,79.89873469,67.20679592,28.50789796,19.84336735,13.71885714,-8.364285714,-5.660183673,-26.13055102,1.485897959,2.565142857,1.714142857,70.91836735,78.79591837,66.91836735,14.99326531
Scan030_036,0.629,0.088,5.12E-05,5.29E-07,34759.19672,34759.19672,6210.416115,46.03698361,0.405868852,0.672131148,55.93442623,99.21311475,51.62295082,91.86885246,54.68852459,97.44262295,77.5162623,71.6934918,75.94911475,77.5162623,71.6934918,75.94911475,27.80313115,18.82031148,12.61278689,2.225147541,-15.17186885,13.38665574,1.495442623,2.455213115,1.630196721,76.75409836,71.55737705,75.19672131,14.32240984
Scan030_037,0.685,0.09,-9.60E-05,-1.64E-05,42062.12727,42062.12727,7199.842582,46.75625455,0.4326,-0.381818182,46.90909091,93.96363636,52.72727273,96.34545455,49.27272727,94.8,70.15918182,74.21027273,72.24472727,70.15918182,74.21027273,72.24472727,30.82789091,20.70323636,13.81561818,-7.579254545,0.477872727,9.191781818,1.549618182,2.523545455,1.623145455,68.72727273,73.16363636,70.38181818,15.51512727
Scan030_038,0.708,0.09,-0.0001411,-4.65E-06,42685.66071,42685.66071,7134.123268,49.14873214,0.416392857,0.339285714,57.625,102.7321429,50.28571429,93.875,47.64285714,93.58928571,79.94233929,72.15575,70.72260714,79.94233929,72.15575,70.72260714,29.851375,20.31816071,13.93219643,-7.189767857,-1.046446429,18.17691071,1.492321429,2.422035714,1.633892857,80.26785714,71.39285714,69.30357143,15.55955357
Scan030_039,0.701,0.089,-0.0002913,-9.60E-06,41475.84211,41475.84211,6972.083737,48.63385965,0.389789474,0.175438596,52.68421053,96.85964912,54.35087719,95.68421053,54.01754386,102.7894737,74.63345614,74.69536842,78.35861404,74.63345614,74.69536842,78.35861404,30.05001754,20.59784211,13.12266667,-15.69908772,1.337964912,-8.845210526,1.555192982,2.713614035,1.715701754,74.70175439,74.85964912,76.31578947,15.22808772
Scan030_040,0.696,0.085,-0.0001854,-1.21E-06,41211.22807,41211.22807,6667.213667,47.7624386,0.375157895,0.631578947,53.0877193,95.73684211,55.26315789,94.9122807,56.73684211,97.64912281,74.29857895,75.3617193,76.88178947,74.29857895,75.3617193,76.88178947,27.54977193,18.77266667,12.27212281,11.43303509,-6.585631579,-12.28092982,1.495596491,2.664052632,1.782842105,73.71929825,74.68421053,76.12280702,14.45614035
