SampleName,VolumeDensity,SurfaceAreaDensity,MeanBreadthDensity,EulerNumberDensity,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius, Yield Stress 
Scan021_007,0.805,0.029,-0.0001637,-1.98e-07,1033897.916,60019.98692,159.439,0.343416667,1.0,63.77166667,191.5916667,91.99166667,201.1366667,54.08833333,178.45,133.86,144.949,114.1930833,133.86,144.949,114.1930833,81.38008333,59.53866667,38.102,-13.80633333,7.324666667,-69.26083333,1.398083333,2.485166667,1.83,130.31,141.93,117.9983333,51.875,55.44181060791016
Scan021_008,0.729,0.033,-7.32e-05,-1.25e-06,469830.3689,33640.67063,120.3480417,0.38675,-0.125,56.57833333,149.6075,100.3608333,185.7125,54.9875,139.44,102.9389167,143.1481667,98.006875,102.9389167,143.1481667,98.006875,55.90895833,41.58841667,28.075375,1.704791667,-8.127333333,42.36770833,1.448375,2.262625,1.583583333,94.89666667,141.515,99.32333333,35.32116667,31.31640243530273
Scan021_010,0.712,0.031,-0.0001697,-1.57e-07,549100.5708,37207.12355,118.40715,0.34615,0.75,78.186,175.711,68.392,159.692,52.622,143.673,127.16455,114.888,97.00105,127.16455,114.888,97.00105,65.64335,41.56835,27.09885,-9.823,1.5122,8.6377,1.804,2.8027,1.581,128.65,106.572,99.268,36.18805,41.29444885253906
Scan022_001,0.791,0.106,-0.001,-5.1e-06,52407.4902,9557.640863,67.19735294,0.317490196,0.411764706,55.41176471,104.4901961,49.29411765,101.745098,45.11764706,96.52941176,79.78766667,75.49317647,70.08135294,79.78766667,75.49317647,70.08135294,33.30076471,21.99852941,15.63978431,-0.708705882,-6.208509804,-2.285745098,1.547058824,2.260117647,1.469764706,80.0,75.74509804,67.60784314,16.61429412,69.40680694580078
Scan022_002,0.819,0.101,-0.001,4.08e-06,56405.7551,9744.217122,65.9202449,0.340612245,0.93877551,44.12244898,95.85714286,51.81632653,101.6326531,52.36734694,104.5714286,70.12532653,77.17138776,78.6024898,70.12532653,77.17138776,78.6024898,32.50112245,22.35353061,16.66183673,-3.198183673,-8.468836735,-3.806265306,1.479326531,2.035979592,1.376591837,68.91836735,77.18367347,77.7755102,16.97279592,62.77057647705078
Scan022_003,0.793,0.109,-0.001,-3.33e-06,53605.24,10026.65358,71.8042,0.2927,0.5,52.44,105.32,55.5,109.22,42.92,99.62,78.78656,81.81728,70.78966,78.78656,81.81728,70.78966,33.41704,23.61762,17.11776,11.46414,1.80386,23.25342,1.44176,2.05158,1.44352,78.58,80.86,70.08,16.60002,54.99604797363281
Scan022_004,0.802,0.106,-0.001,0.0,55219.65306,10042.62722,70.04683673,0.306693878,0.714285714,50.46938776,105.2857143,51.51020408,104.6530612,44.83673469,100.7959184,77.9097551,77.38567347,72.89669388,77.9097551,77.38567347,72.89669388,34.66067347,23.62814286,16.96532653,8.790877551,5.27422449,-8.095693878,1.521183673,2.158285714,1.42122449,77.40816327,76.18367347,71.65306122,16.78906122,62.46192932128906
Scan022_005,0.776,0.111,-0.001,7.56e-06,43681.95,8355.579933,62.03153333,0.343416667,1.033333333,56.38333333,105.7833333,49.25,98.7,51.25,101.1,81.31335,73.6408,76.26225,81.31335,73.6408,76.26225,30.44953333,21.88203333,15.86325,-12.66203333,-3.451133333,18.95473333,1.418133333,2.00955,1.423166667,80.65,72.75,75.5,15.81665,60.153465270996094
Scan022_006,0.769,0.1,-0.0009949,-1.51e-07,55278.04255,9842.184638,67.71657447,0.309957447,0.85106383,54.34042553,105.9361702,52.08510638,102.4893617,43.87234043,96.04255319,80.49223404,77.53370213,69.79119149,80.49223404,77.53370213,69.79119149,33.62155319,22.17523404,15.59408511,1.925744681,-18.92031915,6.677276596,1.52487234,2.205617021,1.469489362,80.08510638,76.9787234,68.29787234,16.21268085,51.41510391235352
Scan022_007,0.743,0.101,-0.0007477,-2.15e-06,48231.90385,8764.144327,63.16411538,0.311211538,0.576923077,54.71153846,103.5192308,48.25,95.73076923,53.5,103.2884615,79.24903846,71.29136538,77.76205769,79.24903846,71.29136538,77.76205769,30.12486538,21.30244231,15.3725,-0.018326923,-12.15592308,19.05796154,1.439115385,2.215153846,1.551115385,79.03846154,69.09615385,75.15384615,15.06413462,56.75559997558594
Scan022_008,0.788,0.105,-0.001,1.59e-06,52136.23529,9455.459569,67.89023529,0.316901961,0.823529412,53.66666667,103.8039216,48.88235294,101.745098,51.56862745,108.1960784,78.25415686,74.99684314,80.36119608,78.25415686,74.99684314,80.36119608,33.90876471,22.81590196,16.51827451,5.288431373,-5.50272549,1.599333333,1.499588235,2.165235294,1.455058824,78.43137255,75.05882353,81.62745098,17.06537255,66.36261749267578
Scan022_009,0.76,0.1,-0.0008078,6.05e-06,51320.4,9168.8149,64.0784,0.3203,1.14,46.4,97.14,54.2,103.26,43.86,95.22,71.55884,78.67652,69.43868,71.55884,78.67652,69.43868,32.26228,22.49574,15.35708,8.22764,3.49292,-11.90816,1.48808,2.28082,1.51536,70.94,78.14,68.44,16.14672,57.15905380249024
