Features[1, 2, 3, 4], 4 features
Initial linear-valued hyperparameters | Optimal hyperparameters | Logp | RMSE
2.844e-01 1.393e-05 6.459e+01 3.591e-05 6.031e-01 8.494e+01 | 9.995e-01 1.393e-05 6.459e+01 3.591e-05 6.031e-01 4.525e-04 | -676.834 | 0.011
9.640e+00 1.830e+02 1.146e-01 3.141e-05 6.207e-02 3.855e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
1.302e-01 1.030e-03 2.488e-03 8.321e+01 7.497e-01 6.244e+00 | 1.054e+00 1.030e-03 1.515e+00 1.258e+00 1.416e+00 5.528e-02 | -600.057 | 2.291
2.651e+00 1.537e-02 3.216e-02 1.335e+04 4.592e-03 4.813e+00 | 1.198e+00 7.113e-01 2.134e+00 1.335e+04 2.570e+00 1.903e-01 | -327.28 | 10.051
1.782e+00 2.378e-02 1.163e-02 7.337e-04 3.489e-03 2.280e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
1.417e-01 2.232e+01 6.888e+02 2.104e-04 4.646e+00 1.364e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.986e+00 1.720e-01 | -313.948 | 9.456
1.457e-01 1.357e+00 3.015e-02 1.074e-02 3.530e-02 3.102e-01 | 1.224e+00 6.891e-01 2.587e+00 3.254e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
1.929e+01 1.565e-02 3.229e-05 1.986e+03 1.920e-02 7.316e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
1.523e+01 1.743e+02 3.370e+02 3.681e+01 2.009e+01 2.284e-01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
7.233e+00 3.948e+01 4.529e+04 1.538e+02 1.746e-03 1.709e-01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
1.245e-01 1.460e+04 1.761e-04 1.303e-05 5.856e-02 9.710e+01 | 9.135e-02 1.460e+04 1.761e-04 1.303e-05 5.857e-02 9.086e-01 | -676.834 | 21.665
1.801e-01 7.792e-04 1.495e+04 1.719e-03 4.536e-03 1.988e+00 | 1.054e+00 2.218e-05 1.515e+00 1.258e+00 1.416e+00 5.528e-02 | -600.057 | 2.292
5.115e+00 2.236e+00 4.719e+01 3.175e+01 1.067e-05 2.745e-01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
1.763e+00 1.050e+01 2.417e+03 1.862e-01 1.865e-05 1.177e+01 | 6.780e-01 4.547e-01 2.417e+03 9.292e-01 3.115e-05 3.580e-01 | -673.117 | 8.148
1.797e-01 4.013e-03 8.094e+03 4.889e-03 2.522e-03 6.974e-01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
1.727e+01 1.848e+01 6.654e+02 3.004e-02 4.791e+01 4.339e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
6.488e+00 2.702e+01 4.577e-02 3.785e+01 1.837e-01 1.968e-01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
4.276e+00 2.369e-01 1.274e-01 3.343e+04 2.041e-01 1.034e-01 | 1.198e+00 7.113e-01 2.134e+00 3.343e+04 2.570e+00 1.903e-01 | -327.28 | 10.051
3.561e-01 1.209e-04 8.920e+01 1.785e-02 2.572e+00 2.317e+00 | 1.054e+00 1.209e-04 1.515e+00 1.258e+00 1.416e+00 5.528e-02 | -600.057 | 2.292
5.003e+00 1.008e-03 8.642e-02 1.181e+01 7.855e-03 7.764e+01 | 1.054e+00 1.008e-03 1.515e+00 1.258e+00 1.416e+00 5.528e-02 | -600.057 | 2.292
7.228e-01 6.169e-03 3.778e-02 1.245e+04 2.542e-02 7.167e+01 | 1.198e+00 7.113e-01 2.134e+00 1.245e+04 2.570e+00 1.903e-01 | -327.28 | 10.051
6.571e+01 2.000e+02 1.676e+02 1.640e+04 2.704e+00 2.356e+01 | 1.198e+00 7.113e-01 2.134e+00 1.592e+04 2.570e+00 1.903e-01 | -327.28 | 10.051
4.022e-01 3.078e-03 2.045e-01 9.412e+02 5.156e-03 3.416e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
5.813e+00 5.789e-02 1.600e-03 1.302e-04 1.422e-05 6.855e+01 | 1.019e+00 1.124e-05 1.250e+00 2.464e+04 1.150e+00 8.101e-02 | -606.149 | 3.103
1.782e+00 9.434e+00 5.260e+01 1.042e+01 1.734e-03 5.772e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
7.292e+01 7.456e+03 1.771e+00 3.775e+03 2.588e-03 1.047e-01 | 1.284e+00 7.183e-01 2.221e+00 3.044e+00 3.099e+03 1.879e-01 | -321.606 | 10.027
4.055e+00 1.260e-03 6.447e+00 8.367e-02 6.779e+00 2.612e+00 | 1.054e+00 1.260e-03 1.515e+00 1.258e+00 1.416e+00 5.528e-02 | -600.057 | 2.292
6.096e+00 6.686e+02 8.925e-02 7.984e+04 1.467e-03 5.929e+00 | 1.198e+00 7.113e-01 2.134e+00 8.773e+04 2.570e+00 1.903e-01 | -327.28 | 10.051
5.759e+01 3.755e+00 9.003e-02 3.585e+01 1.358e-05 2.115e+00 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
2.246e+00 3.898e-05 2.232e-02 2.456e-04 3.715e-02 3.500e+00 | 1.054e+00 3.898e-05 1.515e+00 1.258e+00 1.416e+00 5.528e-02 | -600.057 | 2.292
1.630e+01 1.207e-05 6.828e+00 1.135e+00 5.377e-03 1.774e-01 | 1.054e+00 1.207e-05 1.515e+00 1.258e+00 1.416e+00 5.528e-02 | -600.057 | 2.292
1.076e-01 5.398e+04 8.619e+04 1.100e-05 1.484e-04 6.410e-01 | 1.001e-05 1.000e-05 1.000e-05 1.000e-05 1.000e-05 1.000e+00 | -676.834 | 23.843
1.218e+01 7.293e-01 2.887e-03 1.176e+03 6.962e+03 1.362e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
1.368e+00 5.628e-03 3.808e+04 6.739e+01 1.752e+04 3.584e-01 | 1.691e+00 8.403e-01 3.808e+04 2.040e+00 1.752e+04 2.062e-01 | -334.247 | 10.61
9.816e-01 1.959e-05 8.762e+00 1.449e+04 4.678e-04 5.813e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
1.612e-01 8.391e-01 1.110e+01 2.761e-04 3.662e-03 3.280e+00 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
4.053e+01 2.819e+00 1.265e-05 7.215e+02 4.133e+01 2.686e+00 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
